店名,ジャンル,住所,営業時間,ホームページ,オープン日,公式アカウント,address,緯度,経度
なかたに亭,ケーキ、マカロン、チョコレート,大阪府大阪市天王寺区上本町6-6-27 中川ビル 1F ,営業時間  ［お持ち帰り］10:00～18:00［カフェ］12:00～17:30  日曜営業  定休日  月曜日、第1第3火曜  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,http://www.nakatanitei.com,1987年4月13日,,大阪府大阪市天王寺区上本町6-6-27,34.664347,135.519711
レ・グーテ（Les gouters）,ケーキ、マカロン、チョコレート,大阪府大阪市西区京町堀1-14-28 UTSUBO+2 1F ,営業時間  12:00～18:00  日曜営業  定休日  月曜・火曜  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,http://les-gouters.com/,2010年9月,https://www.instagram.com/les_gouters/,大阪府大阪市西区京町堀1-14-28,34.686215,135.493676
エクチュア からほり「蔵」本店,チョコレート、カフェ、サンドイッチ,大阪府大阪市中央区谷町6-17-43 練 ,営業時間  [月・火・木・金・土・日]喫茶　11:00～20:00（L.O.19:30）販売　11:00〜20:00営業時間が異なる場合がございます。必ず弊社サイト、弊社SNS等でお調べ頂くか、直接お電話下さい。  日曜営業  定休日  水曜,http://www.ek-chuah.co.jp/,2003年,https://www.facebook.com/EkChuah1986/  https://www.instagram.com/ekchuahs/,大阪府大阪市中央区谷町6-17-43,34.675163,135.512671
ショコラティエ パレ ド オール 大阪（CHOCOLATIER PALET D'OR）,チョコレート、カフェ、ケーキ,大阪府大阪市北区梅田2-2-22 ハービスPLAZA ENT 4F ,営業時間  11:00～20:00  日曜営業  定休日  不定休（ハービスPLAZA ENTに準ずる）  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,,,,大阪府大阪市北区梅田2-2-22,34.699668,135.494703
カカオサンパカ 大丸梅田店,カフェ、チョコレート、パフェ,大阪府大阪市北区梅田3-1-1 大丸梅田店 7F ,営業時間  10:00～20:00(L.O.19:00)  日曜営業  定休日  大丸梅田に準ずる,,,,大阪府大阪市北区梅田3-1-1,34.703075,135.495271
パティスリー ショコラトリー オーディネール,ケーキ、チョコレート、カフェ・喫茶（その他）,大阪府大阪市西区南堀江2-4-16 ファヴール南堀江 1F ,営業時間  11:00～20:00  日曜営業  定休日  木曜日(水曜日に臨時休業することもあり)　Facebookで要確認  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,https://patisserieordinaire.wixsite.com/ordinaire,2013年12月7日,https://www.facebook.com/p.ordinaire  https://www.instagram.com/p.ordinaire/,大阪府大阪市西区南堀江2-4-16,34.671076,135.491884
レ・プティット・パピヨット（Les Petites Papillotes）,チョコレート、カフェ、ケーキ,大阪府大阪市西区京町掘1-12-24 OH MILLS京町堀 1F ,営業時間  [水～金]11:00～20:00(イートイン19:00まで：Ｌ.O18:30)[土・日・祝]11:00～19:00(Ｌ.O18:30)  日曜営業  定休日  月・火,,,,大阪府大阪市西区京町掘1-12-24,34.687232,135.494294
パティスリー アクイユ（patisserie accueil）,ケーキ、チョコレート、カフェ・喫茶（その他）,大阪府大阪市西区北堀江1-17-18 102 ,営業時間  [水～月]10:00～19:00  日曜営業  定休日  火曜日＋不定休  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,https://patisserie-accueil.com/,2014年6月13日,https://www.facebook.com/patisserieaccueil2014  https://www.instagram.com/accueil2014accueil/,大阪府大阪市西区北堀江1-17-18,34.674475,135.494467
ジョエル（joel）,ケーキ、チョコレート、洋菓子（その他）,大阪府大阪市中央区北浜4-3-4 淀屋橋odona １Ｆ ,営業時間  [月～金]　11：00～20:00　喫茶13:00〜LO18:00[土祝]11:00～20:00喫茶11:00 〜LO17:00  定休日  日曜日,,,,大阪府大阪市中央区北浜4-3-4,34.6913,135.500226
ラフカ（LAFCA）,ケーキ、チョコレート,大阪府大阪市北区同心2-1-31 エルコンテント 1F ,営業時間  11:00～20:00（売り切れ次第終了）  日曜営業  定休日  月火+不定休  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,https://lafca.shop/,2013年11月22日,https://www.facebook.com/LAFCA-1431447003738411/ https://www.instagram.com/patisserie_lafca/,大阪府大阪市北区同心2-1-31,34.701758,135.517786
